,date,apr,fixed_var,annual_fee,visamc,nr_mailed,non_resp,resp,bk_score,average_bk
0,April,16.8,Fixed,20,MC ,167000,165467,1533,200,210
1,April,16.8,Fixed,0,MC ,81000,78104,2896,200,210
2,April,19.8,Fixed,20,MC ,143000,142410,590,200,210
3,April,19.8,Fixed,0,MC ,100000,97948,2052,200,210
4,September,14.9,Fixed,20,Visa ,177000,172671,4329,250,255
5,September,14.9,Variable,20,Visa ,170000,166996,3004,250,255
6,September,16.8,Fixed,20,Visa ,255000,252017,2983,250,255
7,September,19.8,Fixed,20,Visa ,35000,34825,175,250,255
8,September,16.8,Fixed,0,Visa ,65000,62484,2516,250,255
9,September,19.8,Fixed,0,Visa ,95000,92885,2115,250,255
10,November,14.9,Fixed,20,Visa ,82000,80239,1761,150,190
11,November,14.9,Fixed,0,Visa ,50000,47549,2451,150,190
12,November,14.9,Variable,20,Visa ,50000,49292,708,150,190
13,November,16.8,Fixed,20,Visa ,50000,49627,373,150,190
