X1,date,apr,fixed_var,annual_fee,visamc,nr_mailed,bk_score,average_bk,response,freq
0,April,16.8,Fixed,20,MC,167000,200,210,non_resp,165467
1,April,16.8,Fixed,0,MC,81000,200,210,non_resp,78104
2,April,19.8,Fixed,20,MC,143000,200,210,non_resp,142410
3,April,19.8,Fixed,0,MC,100000,200,210,non_resp,97948
4,September,14.9,Fixed,20,Visa,177000,250,255,non_resp,172671
5,September,14.9,Variable,20,Visa,170000,250,255,non_resp,166996
6,September,16.8,Fixed,20,Visa,255000,250,255,non_resp,252017
7,September,19.8,Fixed,20,Visa,35000,250,255,non_resp,34825
8,September,16.8,Fixed,0,Visa,65000,250,255,non_resp,62484
9,September,19.8,Fixed,0,Visa,95000,250,255,non_resp,92885
10,November,14.9,Fixed,20,Visa,82000,150,190,non_resp,80239
11,November,14.9,Fixed,0,Visa,50000,150,190,non_resp,47549
12,November,14.9,Variable,20,Visa,50000,150,190,non_resp,49292
13,November,16.8,Fixed,20,Visa,50000,150,190,non_resp,49627
0,April,16.8,Fixed,20,MC,167000,200,210,resp,1533
1,April,16.8,Fixed,0,MC,81000,200,210,resp,2896
2,April,19.8,Fixed,20,MC,143000,200,210,resp,590
3,April,19.8,Fixed,0,MC,100000,200,210,resp,2052
4,September,14.9,Fixed,20,Visa,177000,250,255,resp,4329
5,September,14.9,Variable,20,Visa,170000,250,255,resp,3004
6,September,16.8,Fixed,20,Visa,255000,250,255,resp,2983
7,September,19.8,Fixed,20,Visa,35000,250,255,resp,175
8,September,16.8,Fixed,0,Visa,65000,250,255,resp,2516
9,September,19.8,Fixed,0,Visa,95000,250,255,resp,2115
10,November,14.9,Fixed,20,Visa,82000,150,190,resp,1761
11,November,14.9,Fixed,0,Visa,50000,150,190,resp,2451
12,November,14.9,Variable,20,Visa,50000,150,190,resp,708
13,November,16.8,Fixed,20,Visa,50000,150,190,resp,373
