,date,apr,fixed_var,annual_fee,nr_mailed,non_resp,resp,bk_score
0,March,14.9,Fixed,20,4000,3939,61,150
1,March,14.9,Fixed,20,4000,3905,95,200
2,March,14.9,Var.,20,4000,3944,56,200
3,March,14.9,Fixed,0,4000,3750,250,250
4,March,14.9,Var.,0,4000,3856,144,150
5,March,14.9,Var.,0,4000,3786,214,250
6,March,16.8,Fixed,20,4000,3990,10,150
7,March,16.8,Fixed,20,4000,3975,25,250
8,March,16.8,Var.,20,4000,3979,21,250
9,March,16.8,Fixed,0,4000,3916,84,200
10,March,16.8,Var.,0,4000,3947,53,150
11,March,16.8,Var.,0,4000,3920,80,200
12,March,19.8,Var.,20,4000,3985,15,150
13,March,19.8,Var.,20,4000,3986,14,200
14,March,19.8,Var.,20,4000,3986,14,250
15,March,19.8,Fixed,0,4000,3944,56,150
16,March,19.8,Fixed,0,4000,3948,52,200
17,March,19.8,Fixed,0,4000,3936,64,250
