X1,date,apr,fixed_var,annual_fee,nr_mailed,bk_score,response,freq
0,March,14.9,Fixed,20,4000,150,non_resp,3939
1,March,14.9,Fixed,20,4000,200,non_resp,3905
2,March,14.9,Var.,20,4000,200,non_resp,3944
3,March,14.9,Fixed,0,4000,250,non_resp,3750
4,March,14.9,Var.,0,4000,150,non_resp,3856
5,March,14.9,Var.,0,4000,250,non_resp,3786
6,March,16.8,Fixed,20,4000,150,non_resp,3990
7,March,16.8,Fixed,20,4000,250,non_resp,3975
8,March,16.8,Var.,20,4000,250,non_resp,3979
9,March,16.8,Fixed,0,4000,200,non_resp,3916
10,March,16.8,Var.,0,4000,150,non_resp,3947
11,March,16.8,Var.,0,4000,200,non_resp,3920
12,March,19.8,Var.,20,4000,150,non_resp,3985
13,March,19.8,Var.,20,4000,200,non_resp,3986
14,March,19.8,Var.,20,4000,250,non_resp,3986
15,March,19.8,Fixed,0,4000,150,non_resp,3944
16,March,19.8,Fixed,0,4000,200,non_resp,3948
17,March,19.8,Fixed,0,4000,250,non_resp,3936
0,March,14.9,Fixed,20,4000,150,resp,61
1,March,14.9,Fixed,20,4000,200,resp,95
2,March,14.9,Var.,20,4000,200,resp,56
3,March,14.9,Fixed,0,4000,250,resp,250
4,March,14.9,Var.,0,4000,150,resp,144
5,March,14.9,Var.,0,4000,250,resp,214
6,March,16.8,Fixed,20,4000,150,resp,10
7,March,16.8,Fixed,20,4000,250,resp,25
8,March,16.8,Var.,20,4000,250,resp,21
9,March,16.8,Fixed,0,4000,200,resp,84
10,March,16.8,Var.,0,4000,150,resp,53
11,March,16.8,Var.,0,4000,200,resp,80
12,March,19.8,Var.,20,4000,150,resp,15
13,March,19.8,Var.,20,4000,200,resp,14
14,March,19.8,Var.,20,4000,250,resp,14
15,March,19.8,Fixed,0,4000,150,resp,56
16,March,19.8,Fixed,0,4000,200,resp,52
17,March,19.8,Fixed,0,4000,250,resp,64
