"trial","annual_fee","apr","fixed_var","bk_score"
3,"0","14.9","Fixed","250"
4,"0","14.9","Variable","150"
6,"0","14.9","Variable","250"
8,"0","16.8","Fixed","200"
10,"0","16.8","Variable","150"
11,"0","16.8","Variable","200"
13,"0","19.8","Fixed","150"
14,"0","19.8","Fixed","200"
15,"0","19.8","Fixed","250"
19,"20","14.9","Fixed","150"
20,"20","14.9","Fixed","200"
23,"20","14.9","Variable","200"
25,"20","16.8","Fixed","150"
27,"20","16.8","Fixed","250"
30,"20","16.8","Variable","250"
34,"20","19.8","Variable","150"
35,"20","19.8","Variable","200"
36,"20","19.8","Variable","250"
