"trial","annual_fee","apr","fixed_var","bk_score"
3,"0","14.9","Fixed","250"
4,"0","14.9","Variable","150"
5,"0","14.9","Variable","200"
9,"0","16.8","Fixed","250"
10,"0","16.8","Variable","150"
11,"0","16.8","Variable","200"
13,"0","19.8","Fixed","150"
14,"0","19.8","Fixed","200"
18,"0","19.8","Variable","250"
19,"20","14.9","Fixed","150"
20,"20","14.9","Fixed","200"
24,"20","14.9","Variable","250"
25,"20","16.8","Fixed","150"
27,"20","16.8","Fixed","250"
29,"20","16.8","Variable","200"
32,"20","19.8","Fixed","200"
34,"20","19.8","Variable","150"
36,"20","19.8","Variable","250"
